Total Nacional;Comunidades y Ciudades Autónomas;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;;TOTAL EDADES;TOTAL;Ambos sexos;2021;47.385.107
Total Nacional;;TOTAL EDADES;TOTAL;Ambos sexos;2020;47.450.795
Total Nacional;;TOTAL EDADES;TOTAL;Ambos sexos;2019;47.026.208
Total Nacional;;TOTAL EDADES;TOTAL;Hombres;2021;23.222.953
Total Nacional;;TOTAL EDADES;TOTAL;Hombres;2020;23.255.590
Total Nacional;;TOTAL EDADES;TOTAL;Hombres;2019;23.042.428
Total Nacional;;TOTAL EDADES;TOTAL;Mujeres;2021;24.162.154
Total Nacional;;TOTAL EDADES;TOTAL;Mujeres;2020;24.195.205
Total Nacional;;TOTAL EDADES;TOTAL;Mujeres;2019;23.983.780
Total Nacional;;TOTAL EDADES;Españoles;Ambos sexos;2021;41.944.959
Total Nacional;;TOTAL EDADES;Españoles;Ambos sexos;2020;42.016.642
Total Nacional;;TOTAL EDADES;Españoles;Ambos sexos;2019;41.989.330
Total Nacional;;TOTAL EDADES;Españoles;Hombres;2021;20.497.801
Total Nacional;;TOTAL EDADES;Españoles;Hombres;2020;20.535.713
Total Nacional;;TOTAL EDADES;Españoles;Hombres;2019;20.522.283
Total Nacional;;TOTAL EDADES;Españoles;Mujeres;2021;21.447.158
Total Nacional;;TOTAL EDADES;Españoles;Mujeres;2020;21.480.929
Total Nacional;;TOTAL EDADES;Españoles;Mujeres;2019;21.467.047
Total Nacional;;TOTAL EDADES;Extranjeros;Ambos sexos;2021;5.440.148
Total Nacional;;TOTAL EDADES;Extranjeros;Ambos sexos;2020;5.434.153
Total Nacional;;TOTAL EDADES;Extranjeros;Ambos sexos;2019;5.036.878
Total Nacional;;TOTAL EDADES;Extranjeros;Hombres;2021;2.725.152
Total Nacional;;TOTAL EDADES;Extranjeros;Hombres;2020;2.719.877
Total Nacional;;TOTAL EDADES;Extranjeros;Hombres;2019;2.520.145
Total Nacional;;TOTAL EDADES;Extranjeros;Mujeres;2021;2.714.996
Total Nacional;;TOTAL EDADES;Extranjeros;Mujeres;2020;2.714.276
Total Nacional;;TOTAL EDADES;Extranjeros;Mujeres;2019;2.516.733
Total Nacional;;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;11,48
Total Nacional;;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;11,45
Total Nacional;;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;10,71
Total Nacional;;TOTAL EDADES;% Extranjeros;Hombres;2021;11,73
Total Nacional;;TOTAL EDADES;% Extranjeros;Hombres;2020;11,70
Total Nacional;;TOTAL EDADES;% Extranjeros;Hombres;2019;10,94
Total Nacional;;TOTAL EDADES;% Extranjeros;Mujeres;2021;11,24
Total Nacional;;TOTAL EDADES;% Extranjeros;Mujeres;2020;11,22
Total Nacional;;TOTAL EDADES;% Extranjeros;Mujeres;2019;10,49
Total Nacional;;0-15 años;TOTAL;Ambos sexos;2021;7.183.373
Total Nacional;;0-15 años;TOTAL;Ambos sexos;2020;7.320.973
Total Nacional;;0-15 años;TOTAL;Ambos sexos;2019;7.364.092
Total Nacional;;0-15 años;TOTAL;Hombres;2021;3.692.744
Total Nacional;;0-15 años;TOTAL;Hombres;2020;3.764.324
Total Nacional;;0-15 años;TOTAL;Hombres;2019;3.785.209
Total Nacional;;0-15 años;TOTAL;Mujeres;2021;3.490.629
Total Nacional;;0-15 años;TOTAL;Mujeres;2020;3.556.649
Total Nacional;;0-15 años;TOTAL;Mujeres;2019;3.578.883
Total Nacional;;0-15 años;Españoles;Ambos sexos;2021;6.366.354
Total Nacional;;0-15 años;Españoles;Ambos sexos;2020;6.493.951
Total Nacional;;0-15 años;Españoles;Ambos sexos;2019;6.589.009
Total Nacional;;0-15 años;Españoles;Hombres;2021;3.272.369
Total Nacional;;0-15 años;Españoles;Hombres;2020;3.338.410
Total Nacional;;0-15 años;Españoles;Hombres;2019;3.386.006
Total Nacional;;0-15 años;Españoles;Mujeres;2021;3.093.985
Total Nacional;;0-15 años;Españoles;Mujeres;2020;3.155.541
Total Nacional;;0-15 años;Españoles;Mujeres;2019;3.203.003
Total Nacional;;0-15 años;Extranjeros;Ambos sexos;2021;817.019
Total Nacional;;0-15 años;Extranjeros;Ambos sexos;2020;827.022
Total Nacional;;0-15 años;Extranjeros;Ambos sexos;2019;775.083
Total Nacional;;0-15 años;Extranjeros;Hombres;2021;420.375
Total Nacional;;0-15 años;Extranjeros;Hombres;2020;425.914
Total Nacional;;0-15 años;Extranjeros;Hombres;2019;399.203
Total Nacional;;0-15 años;Extranjeros;Mujeres;2021;396.644
Total Nacional;;0-15 años;Extranjeros;Mujeres;2020;401.108
Total Nacional;;0-15 años;Extranjeros;Mujeres;2019;375.880
Total Nacional;;0-15 años;% Extranjeros;Ambos sexos;2021;11,37
Total Nacional;;0-15 años;% Extranjeros;Ambos sexos;2020;11,30
Total Nacional;;0-15 años;% Extranjeros;Ambos sexos;2019;10,53
Total Nacional;;0-15 años;% Extranjeros;Hombres;2021;11,38
Total Nacional;;0-15 años;% Extranjeros;Hombres;2020;11,31
Total Nacional;;0-15 años;% Extranjeros;Hombres;2019;10,55
Total Nacional;;0-15 años;% Extranjeros;Mujeres;2021;11,36
Total Nacional;;0-15 años;% Extranjeros;Mujeres;2020;11,28
Total Nacional;;0-15 años;% Extranjeros;Mujeres;2019;10,50
Total Nacional;;16-64 años;TOTAL;Ambos sexos;2021;30.890.906
Total Nacional;;16-64 años;TOTAL;Ambos sexos;2020;30.911.441
Total Nacional;;16-64 años;TOTAL;Ambos sexos;2019;30.604.923
Total Nacional;;16-64 años;TOTAL;Hombres;2021;15.497.164
Total Nacional;;16-64 años;TOTAL;Hombres;2020;15.503.734
Total Nacional;;16-64 años;TOTAL;Hombres;2019;15.345.463
Total Nacional;;16-64 años;TOTAL;Mujeres;2021;15.393.742
Total Nacional;;16-64 años;TOTAL;Mujeres;2020;15.407.707
Total Nacional;;16-64 años;TOTAL;Mujeres;2019;15.259.460
Total Nacional;;16-64 años;Españoles;Ambos sexos;2021;26.651.738
Total Nacional;;16-64 años;Españoles;Ambos sexos;2020;26.676.038
Total Nacional;;16-64 años;Españoles;Ambos sexos;2019;26.687.026
Total Nacional;;16-64 años;Españoles;Hombres;2021;13.371.711
Total Nacional;;16-64 años;Españoles;Hombres;2020;13.383.065
Total Nacional;;16-64 años;Españoles;Hombres;2019;13.386.114
Total Nacional;;16-64 años;Españoles;Mujeres;2021;13.280.027
Total Nacional;;16-64 años;Españoles;Mujeres;2020;13.292.973
Total Nacional;;16-64 años;Españoles;Mujeres;2019;13.300.912
Total Nacional;;16-64 años;Extranjeros;Ambos sexos;2021;4.239.168
Total Nacional;;16-64 años;Extranjeros;Ambos sexos;2020;4.235.403
Total Nacional;;16-64 años;Extranjeros;Ambos sexos;2019;3.917.897
Total Nacional;;16-64 años;Extranjeros;Hombres;2021;2.125.453
Total Nacional;;16-64 años;Extranjeros;Hombres;2020;2.120.669
Total Nacional;;16-64 años;Extranjeros;Hombres;2019;1.959.349
Total Nacional;;16-64 años;Extranjeros;Mujeres;2021;2.113.715
Total Nacional;;16-64 años;Extranjeros;Mujeres;2020;2.114.734
Total Nacional;;16-64 años;Extranjeros;Mujeres;2019;1.958.548
Total Nacional;;16-64 años;% Extranjeros;Ambos sexos;2021;13,72
Total Nacional;;16-64 años;% Extranjeros;Ambos sexos;2020;13,70
Total Nacional;;16-64 años;% Extranjeros;Ambos sexos;2019;12,80
Total Nacional;;16-64 años;% Extranjeros;Hombres;2021;13,72
Total Nacional;;16-64 años;% Extranjeros;Hombres;2020;13,68
Total Nacional;;16-64 años;% Extranjeros;Hombres;2019;12,77
Total Nacional;;16-64 años;% Extranjeros;Mujeres;2021;13,73
Total Nacional;;16-64 años;% Extranjeros;Mujeres;2020;13,73
Total Nacional;;16-64 años;% Extranjeros;Mujeres;2019;12,83
Total Nacional;;65 y más;TOTAL;Ambos sexos;2021;9.310.828
Total Nacional;;65 y más;TOTAL;Ambos sexos;2020;9.218.381
Total Nacional;;65 y más;TOTAL;Ambos sexos;2019;9.057.193
Total Nacional;;65 y más;TOTAL;Hombres;2021;4.033.045
Total Nacional;;65 y más;TOTAL;Hombres;2020;3.987.532
Total Nacional;;65 y más;TOTAL;Hombres;2019;3.911.756
Total Nacional;;65 y más;TOTAL;Mujeres;2021;5.277.783
Total Nacional;;65 y más;TOTAL;Mujeres;2020;5.230.849
Total Nacional;;65 y más;TOTAL;Mujeres;2019;5.145.437
Total Nacional;;65 y más;Españoles;Ambos sexos;2021;8.926.867
Total Nacional;;65 y más;Españoles;Ambos sexos;2020;8.846.653
Total Nacional;;65 y más;Españoles;Ambos sexos;2019;8.713.295
Total Nacional;;65 y más;Españoles;Hombres;2021;3.853.721
Total Nacional;;65 y más;Españoles;Hombres;2020;3.814.238
Total Nacional;;65 y más;Españoles;Hombres;2019;3.750.163
Total Nacional;;65 y más;Españoles;Mujeres;2021;5.073.146
Total Nacional;;65 y más;Españoles;Mujeres;2020;5.032.415
Total Nacional;;65 y más;Españoles;Mujeres;2019;4.963.132
Total Nacional;;65 y más;Extranjeros;Ambos sexos;2021;383.961
Total Nacional;;65 y más;Extranjeros;Ambos sexos;2020;371.728
Total Nacional;;65 y más;Extranjeros;Ambos sexos;2019;343.898
Total Nacional;;65 y más;Extranjeros;Hombres;2021;179.324
Total Nacional;;65 y más;Extranjeros;Hombres;2020;173.294
Total Nacional;;65 y más;Extranjeros;Hombres;2019;161.593
Total Nacional;;65 y más;Extranjeros;Mujeres;2021;204.637
Total Nacional;;65 y más;Extranjeros;Mujeres;2020;198.434
Total Nacional;;65 y más;Extranjeros;Mujeres;2019;182.305
Total Nacional;;65 y más;% Extranjeros;Ambos sexos;2021;4,12
Total Nacional;;65 y más;% Extranjeros;Ambos sexos;2020;4,03
Total Nacional;;65 y más;% Extranjeros;Ambos sexos;2019;3,80
Total Nacional;;65 y más;% Extranjeros;Hombres;2021;4,45
Total Nacional;;65 y más;% Extranjeros;Hombres;2020;4,35
Total Nacional;;65 y más;% Extranjeros;Hombres;2019;4,13
Total Nacional;;65 y más;% Extranjeros;Mujeres;2021;3,88
Total Nacional;;65 y más;% Extranjeros;Mujeres;2020;3,79
Total Nacional;;65 y más;% Extranjeros;Mujeres;2019;3,54
Total Nacional;01 Andalucía;TOTAL EDADES;TOTAL;Ambos sexos;2021;8.472.407
