Totales Territoriales;Comunidades y Ciudades Autónomas;Ramas de actividad;Magnitud;periodo;Total
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2021(P);1.222.290.000
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2020;1.119.010.000
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2019;1.245.513.000
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2021(P);9,2
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2020;-10,2
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2019;3,5
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2021(P);100,0
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2020;100,0
Total Nacional;;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2019;100,0
Total Nacional;;A. Agricultura, ganadería, silvicultura y pesca;Valor;2021(P);33.378.000
Total Nacional;;A. Agricultura, ganadería, silvicultura y pesca;Valor;2020;31.461.000
Total Nacional;;A. Agricultura, ganadería, silvicultura y pesca;Valor;2019;30.751.000
Total Nacional;;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2021(P);6,1
Total Nacional;;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2020;2,3
Total Nacional;;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2019;-7,3
Total Nacional;;A. Agricultura, ganadería, silvicultura y pesca;Estructura porcentual;2021(P);2,7
Total Nacional;;A. Agricultura, ganadería, silvicultura y pesca;Estructura porcentual;2020;2,8
Total Nacional;;A. Agricultura, ganadería, silvicultura y pesca;Estructura porcentual;2019;2,5
Total Nacional;;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2021(P);185.441.000
Total Nacional;;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2020;164.062.000
Total Nacional;;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2019;178.800.000
Total Nacional;;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2021(P);13,0
Total Nacional;;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2020;-8,2
Total Nacional;;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2019;2,3
Total Nacional;;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2021(P);15,2
Total Nacional;;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2020;14,7
Total Nacional;;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2019;14,4
Total Nacional;;C. - De las cuales: Industria manufacturera;Valor;2021(P);138.189.000
Total Nacional;;C. - De las cuales: Industria manufacturera;Valor;2020;122.991.000
Total Nacional;;C. - De las cuales: Industria manufacturera;Valor;2019;135.933.000
Total Nacional;;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2021(P);12,4
Total Nacional;;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2020;-9,5
Total Nacional;;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2019;2,4
Total Nacional;;C. - De las cuales: Industria manufacturera;Estructura porcentual;2021(P);11,3
Total Nacional;;C. - De las cuales: Industria manufacturera;Estructura porcentual;2020;11,0
Total Nacional;;C. - De las cuales: Industria manufacturera;Estructura porcentual;2019;10,9
Total Nacional;;F. Construcción;Valor;2021(P);62.978.000
Total Nacional;;F. Construcción;Valor;2020;61.270.000
Total Nacional;;F. Construcción;Valor;2019;70.821.000
Total Nacional;;F. Construcción;Tasas de variación interanuales;2021(P);2,8
Total Nacional;;F. Construcción;Tasas de variación interanuales;2020;-13,5
Total Nacional;;F. Construcción;Tasas de variación interanuales;2019;9,9
